SVpos_x_1,SVpos_y_1,SVpos_z_1,SVpos_x_2,SVpos_y_2,SVpos_z_2,SVpos_x_3,SVpos_y_3,SVpos_z_3,SVpos_x_4,SVpos_y_4,SVpos_z_4,SVpos_x_5,SVpos_y_5,SVpos_z_5,SVpos_x_6,SVpos_y_6,SVpos_z_6,SVpos_x_7,SVpos_y_7,SVpos_z_7
2280781.30559438,25979961.1146219,5026194.70562023,8683254.11461002,12617511.9933185,21698443.8423494,-23377850.9855956,12586831.4641643,686099.911111861,-17407610.1047284,4983254.89044526,19431038.5012904,-10755562.766769,19850972.5402222,13988557.2836321,-19420696.6401183,16276347.0898765,-7958645.83471265,-14311395.7337104,-8821914.5872702,20561632.9912793
2280473.62174273,25980585.2703677,5023107.1230571,8680814.06075857,12618792.8497333,21698675.3134397,-23378058.8650965,12586617.853764,682928.109987033,-17409616.4231195,4981812.4981611,19429610.8127012,-10755696.1576495,19849187.4304391,13990987.6211668,-19421716.5529987,16276574.0236861,-7955692.3197456,-14309117.1383606,-8823193.69161398,20562669.9604151
2280165.99250246,25981209.0564054,5020019.4336289,8678374.05519993,12620073.860647,21698906.3228972,-23378266.4027149,12586404.0728091,679756.294333117,-17411622.6740481,4980370.31898231,19428182.7107528,-10755829.6372653,19847402.023379,13993417.6610475,-19422736.1228745,16276800.8464887,-7952738.63552361,-14306838.5012388,-8824472.9874829,20563706.4920863
2279858.41782433,25981832.4727172,5016931.637401,8675934.09799539,12621355.0260322,21699136.870717,-23378473.5984723,12586190.1212532,676584.464217438,-17413628.8574512,4978928.35292195,19426754.1954757,-10755963.2056578,19845616.3190833,13995847.4032225,-19423755.3497456,16277027.5582303,-7949784.78210938,-14304559.8224092,-8825752.47486276,20564742.586271
2279550.89765976,25982455.5192849,5013843.7344397,8673494.18920675,12622636.3458613,21699366.9568943,-23378680.4523903,12585975.99905,673412.619707784,-17415634.9732655,4977486.59999342,19425325.2669004,-10756096.862868,19843830.3175935,13998276.8476401,-19424774.2336118,16277254.1588576,-7946830.75956603,-14302281.1019364,-8827032.15373899,20565778.242947
2279243.43195952,25983078.1960908,5010755.7248104,8671054.3288953,12623917.8201067,21699596.5814242,-23378886.9644904,12585761.706153,670240.760871481,-17417641.021428,4976045.06020974,19423895.9250571,-10756230.6089372,19842044.0189511,14000705.9942486,-19425792.774473,16277480.6483168,-7943876.56795627,-14300002.3398844,-8828312.02409734,20566813.4620923
2278936.02067458,25983700.503117,5007667.6085788,8668614.51712233,12625199.4487412,21699825.7443018,-23379093.1347944,12585547.2425155,667068.887775854,-17419647.0018757,4974603.73358391,19422466.1699763,-10756364.4439068,19840257.4231974,14003134.8429964,-19426810.9723294,16277707.0265542,-7940922.2073428,-14297723.5363174,-8829592.08592357,20567848.2436849
2278628.66375592,25984322.4403456,5004579.38581058,8666174.75394961,12626481.2317369,21700054.4455221,-23379298.9633237,12585332.6080915,663897.000488694,-17421652.9145454,4973162.62012932,19421036.0016885,-10756498.3678176,19838470.5303741,14005563.3938316,-19427828.8271807,16277933.2935163,-7937967.67778877,-14295444.6913,-8830872.33920308,20568882.5877027
2278321.36115451,25984944.0077588,5001491.05657146,8663735.03943841,12627763.1690664,21700282.6850803,-23379504.4501001,12585117.8028344,660725.099077327,-17423658.7593739,4971721.71985894,19419605.420224,-10756632.3807111,19836683.3405225,14007991.6467027,-19428846.339027,16278159.4491494,-7935012.97935688,-14293165.8048964,-8832152.78392158,20569916.4941238
2278014.11282111,25985565.2053389,4998402.62092683,8661295.37365002,12629045.2607022,21700510.4629717,-23379709.5951452,12584902.8266976,657553.183609079,-17425664.5362984,4970281.03278572,19418174.4256133,-10756766.4826284,19834895.8536841,14010419.6015582,-19429863.5078685,16278385.4933999,-7932058.11210985,-14290886.8771706,-8833433.4200648,20570949.9629262
2277706.9187071,25986186.0330678,4995314.078943,8658855.7566462,12630327.5066167,21700737.7791912,-23379914.3984805,12584687.679635,654381.254151741,-17427670.2452555,4968840.55892302,19416743.0178869,-10756900.6736106,19833108.0699006,14012847.2583462,-19430880.3337049,16278611.4262141,-7929103.07611084,-14288607.9081873,-8834714.24761809,20571982.9940879
2277399.77876323,25986806.4909278,4992225.43068539,8656416.1884882,12631609.9067822,21700964.6337342,-23380118.8601279,12584472.3616001,651209.310772641,-17429675.8861821,4967400.29828377,19415311.1970751,-10757034.9536989,19831319.9892134,14015274.617015,-19431896.8165364,16278837.2475384,-7926147.87142257,-14286328.8980106,-8835995.26656714,20573015.5875868
2277092.69294046,25987426.5789011,4989136.67621969,8653976.66923745,12632892.4611712,21701191.0265957,-23380322.9801088,12584256.8725464,648037.35353926,-17431681.4590153,4965960.25088103,19413878.9632085,-10757169.3229345,19829531.611664,14017701.6775132,-19432912.956363,16279062.9573192,-7923192.49810791,-14284049.8467047,-8837276.47689751,20574047.7434011
2276785.66118974,25988046.29697,4986047.81561162,8651537.19895521,12634175.1697563,21701416.9577709,-23380526.7584452,12584041.2124275,644865.382518927,-17433686.963692,4964520.41672771,19412446.3163175,-10757303.7813585,19827742.9372938,14020128.4397891,-19433928.753185,16279288.5555028,-7920236.95622959,-14281770.7543338,-8838557.87859486,20575079.4615088
2276478.68346203,25988665.6451166,4982958.8489269,8649097.77770321,12635458.0325095,21701642.4272551,-23380730.1951586,12583825.3811972,641693.397779433,-17435692.4001489,4963080.79583711,19411013.2564326,-10757438.329012,19825953.9661448,14022554.9037909,-19434944.207002,16279514.0420357,-7917281.24585077,-14279491.6209625,-8839839.4716445,20576110.7418879
