pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22610891.5009607,23061896.5604775,22222769.6745648,21241492.6389395,20275295.0100884,23440873.3482472,23986605.7918023
22611257.0221722,23061307.6178288,22223322.9151787,21241730.0603478,20275190.0828438,23440227.455792,23986963.6859372
22611623.1685109,23060715.7273533,22223877.211199,21241970.5278172,20275084.251002,23439580.3783809,23987324.4480694
22611986.9639716,23060125.2149333,22224428.3477425,21242207.9614622,20274981.3896333,23438933.8745274,23987683.0500545
22612354.8755005,23059533.799164,22224982.5605274,21242449.129205,20274877.1574065,23438288.4838589,23988044.0942151
22612718.7018275,23058943.6658943,22225534.5020882,21242686.5720891,20274773.9819753,23437644.3438516,23988405.1914747
22613083.6628412,23058353.0856717,22226088.9394647,21242924.3350287,20274670.8053333,23436994.8972334,23988763.349358
22613447.3779609,23057763.0226478,22226640.7481878,21243165.1829939,20274565.7182503,23436349.7608266,23989123.6791603
22613816.1318003,23057171.9257295,22227193.8737092,21243404.0903985,20274463.8897218,23435701.8365393,23989484.6033213
22614179.8975395,23056582.5329611,22227749.6983863,21243640.893729,20274358.2610041,23435055.8777152,23989845.4473389
22614546.3212468,23055991.7694888,22228300.3547168,21243880.9567726,20274254.0982991,23434408.8797293,23990205.0345124
22614910.6130518,23055400.5508006,22228856.1576202,21244122.0568106,20274152.4665908,23433762.3583158,23990564.7155325
22615278.1027775,23054809.145709,22229410.3076191,21244357.7609867,20274049.7399134,23433117.5872936,23990926.1147636
22615644.108773,23054219.8850208,22229962.4406586,21244600.4560656,20273944.2140927,23432471.3407076,23991284.7060498
22616008.5022353,23053627.9605678,22230514.0175972,21244837.2268176,20273843.0324401,23431826.8586042,23991646.0271871
22616377.7507215,23053040.4489803,22231068.6499364,21245077.4625923,20273740.8858045,23431178.9869295,23992006.8777146
22616741.1972236,23052448.1322713,22231624.1206375,21245317.175029,20273637.9093819,23430533.2853636,23992367.1977346
22617108.5185895,23051858.0866168,22232176.8403591,21245556.5259678,20273533.8987941,23429886.169883,23992726.1987744
22617475.5919184,23051269.24885,22232731.4185013,21245795.4696397,20273431.0286651,23429239.659655,23993089.1531839
22617840.7634304,23050676.9000462,22233284.5166454,21246036.4006204,20273328.9082163,23428594.6024151,23993450.9884011
22618208.1719521,23050086.7079754,22233839.6425106,21246273.6617183,20273227.1558425,23427949.5774963,23993812.4643105
22618573.7274482,23049497.8188514,22234394.1641662,21246513.7841846,20273123.3903321,23427300.6322961,23994174.4953659
22618941.2661463,23048905.285725,22234947.1389379,21246752.5612621,20273023.0588432,23426657.0001192,23994534.0040434
22619308.004858,23048317.5248346,22235503.5921354,21246991.3885874,20272920.7473347,23426010.1828302,23994896.5481892
22619673.8231252,23047727.6522198,22236056.2751497,21247232.2590796,20272819.4478368,23425363.5303564,23995259.2475981
22620040.9554199,23047136.880464,22236610.711923,21247472.6096042,20272714.9419993,23424719.6204138,23995620.1102619
22620408.4835079,23046548.1175009,22237164.6554781,21247712.177103,20272615.2788301,23424072.7516851,23995981.536241
22620775.1943199,23045958.7309079,22237721.1344297,21247951.5573774,20272512.7037133,23423425.9925216,23996342.9419766
22621145.7456992,23045367.3249864,22238275.3281186,21248191.8365533,20272413.6743912,23422779.5625265,23996706.1308007
22621512.4838854,23044777.3990301,22238827.9872091,21248431.3101211,20272310.9121655,23422134.4166235,23997068.2852366
22621879.260544,23044189.1002658,22239383.3134646,21248669.929081,20272209.0373947,23421488.8785813,23997430.5461541
22622244.6892955,23043598.719828,22239939.7353577,21248911.6806814,20272107.8256731,23420843.2686953,23997792.196341
22622613.8709152,23043009.3650756,22240494.9445363,21249150.8205099,20272006.0132993,23420198.0192088,23998156.0608491
22622982.5776235,23042419.8812679,22241050.9209061,21249390.6172212,20271907.4933666,23419553.1924438,23998518.1372583
22623350.9077201,23041829.6281604,22241604.4456572,21249631.1317098,20271805.6920627,23418905.1962477,23998879.4487042
