pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22583385.3669371,23106846.4699731,22181011.9732264,21223459.9799907,20283503.0791257,23490137.401707,23959576.9943826
22583745.0847201,23106254.095533,22181560.545593,21223696.1748623,20283390.8894342,23489487.3838077,23959927.2521363
22584104.2460373,23105657.7313674,22182107.6821918,21223933.731543,20283279.0263874,23488840.9483129,23960278.9784596
22584461.9189022,23105064.6439634,22182654.8241056,21224169.9640157,20283167.9064553,23488190.097677,23960631.6480633
22584820.4930616,23104474.2128667,22183201.2392837,21224403.4484071,20283056.0317182,23487543.5093119,23960985.0591047
22585178.6826939,23103877.9095942,22183748.7418723,21224638.201602,20282944.5133706,23486895.5043253,23961335.6938285
22585539.6678484,23103283.1409466,22184298.214299,21224875.323434,20282834.3178499,23486249.2301078,23961686.2226235
22585897.941977,23102688.9451468,22184844.8454133,21225112.1687148,20282723.0973476,23485599.8228364,23962038.2616694
22586257.1922103,23102095.8526714,22185394.5932627,21225350.3928728,20282609.6819747,23484953.7686455,23962392.5770089
22586615.1729135,23101503.5224861,22185943.5192288,21225584.0758347,20282499.5442937,23484303.2038043,23962745.1820382
22586975.7441687,23100909.6070492,22186489.7323537,21225819.6134375,20282389.6292598,23483655.241295,23963094.9031479
22587334.1663327,23100315.0487279,22187039.474899,21226058.7026875,20282277.8814952,23483011.0231125,23963450.438443
22587692.3260415,23099723.1765093,22187587.3943969,21226292.7869057,20282167.7396153,23482360.0217701,23963802.4936575
22588055.3228547,23099128.7221477,22188137.0037742,21226527.3243397,20282057.948144,23481713.4488143,23964155.9814031
22588412.0241829,23098535.695174,22188684.4996527,21226764.4554684,20281943.0876042,23481065.2254928,23964507.1166038
22588774.3565276,23097943.9911304,22189233.0565823,21227000.5366734,20281835.7783578,23480417.0446222,23964862.7871362
22589130.6361953,23097349.6180858,22189779.4485656,21227239.9268031,20281725.1570756,23479769.6955727,23965214.5140259
22589489.3905168,23096754.0409112,22190330.0739432,21227473.876095,20281615.0303859,23479120.7756636,23965568.8281957
22589851.577566,23096163.1939669,22190879.1387614,21227709.0911283,20281503.9258308,23478472.4811839,23965921.8294786
22590212.5261486,23095569.7224411,22191427.5676785,21227946.6088414,20281393.5191348,23477825.9910378,23966274.7380186
22590572.4890112,23094977.2677931,22191978.3382008,21228183.2417962,20281283.4303112,23477177.8272213,23966628.1349316
22590931.3852578,23094384.9774169,22192525.8559089,21228421.3982547,20281172.9002881,23476532.0209358,23966981.8915595
22591293.4739728,23093788.784682,22193074.6147062,21228655.5594241,20281063.670365,23475884.3738839,23967335.6779551
22591652.8988163,23093195.6936805,22193624.6587035,21228892.5920471,20280954.3656118,23475236.0009304,23967690.4039233
22592011.7945517,23092604.1767425,22194173.404655,21229128.4323302,20280844.4294949,23474589.0318733,23968042.6829016
22592373.1361665,23092011.1524159,22194720.9042073,21229365.0905454,20280733.9178255,23473941.2656684,23968396.7257959
22592734.8035254,23091418.2695964,22195274.1889602,21229603.7234076,20280625.2941644,23473293.2162313,23968752.069567
22593094.3909122,23090825.7276563,22195821.6028399,21229840.6305316,20280514.7982886,23472644.9813984,23969106.0806549
22593453.9117171,23090231.5258504,22196370.8358688,21230076.4614663,20280405.9291176,23471999.5541601,23969461.8321028
22593815.6493435,23089640.3987884,22196921.8664216,21230312.4715393,20280295.6010082,23471349.353999,23969816.8742759
22594177.6868206,23089045.7227521,22197470.820844,21230548.4170391,20280190.5913056,23470703.7078393,23970171.4482956
22594539.209981,23088454.8992053,22198020.4955677,21230785.1572983,20280079.3656087,23470055.394311,23970524.1966186
22594900.1711246,23087861.2781026,22198571.0093207,21231022.2565774,20279971.0612507,23469407.922337,23970880.0325168
22595260.5779138,23087266.9539854,22199118.2430042,21231260.9379553,20279862.6642886,23468761.1057399,23971233.6941833
22595620.6300259,23086676.4220607,22199668.8597412,21231497.846511,20279754.9900608,23468112.6194157,23971589.3494882
22595982.167986,23086084.171988,22200221.2064868,21231733.3776441,20279643.1664851,23467465.9420906,23971943.1981324
22596345.280234,23085489.4277078,22200769.3267817,21231972.6234748,20279537.7464077,23466820.3467869,23972298.8106379
22596707.1192965,23084898.5487006,22201321.3840293,21232209.1232424,20279429.0103387,23466169.8661985,23972655.1710084
22597068.4547587,23084306.5417945,22201871.4970028,21232445.7510809,20279321.3255916,23465522.0866828,23973009.8522576
22597430.4132693,23083713.8836055,22202419.7488503,21232682.4866063,20279211.9011702,23464875.4362582,23973363.2423946
22597791.673333,23083120.5324701,22202971.2376474,21232920.2612853,20279104.3092637,23464228.9454747,23973721.718194
22598154.0205981,23082526.4744556,22203521.6046526,21233156.0639315,20278996.2386659,23463583.341554,23974076.1814334
22598515.1258821,23081936.6921044,22204072.1551741,21233394.2395999,20278888.3861051,23462933.8312812,23974431.5629171
22598879.3432373,23081343.9256654,22204623.7092397,21233630.1132786,20278780.0591834,23462288.3694448,23974788.0134225
22599240.1701869,23080748.6080786,22205173.0875423,21233870.1135689,20278672.540487,23461637.0310847,23975144.1074438
22599600.9428342,23080160.163343,22205723.4179184,21234107.7607919,20278563.2383735,23460993.9882588,23975501.9466835
22599964.1969292,23079568.0625171,22206273.9145305,21234344.4931729,20278460.3607409,23460346.6434632,23975857.5997658
22600326.1646995,23078974.6355188,22206824.9344062,21234581.9511815,20278352.7807321,23459699.8612466,23976213.1406713
22600689.4092029,23078383.5847554,22207375.4438087,21234818.3140011,20278243.5900275,23459052.5172744,23976571.3525261
22601051.0701289,23077791.1452628,22207927.2164906,21235057.162891,20278136.3606263,23458404.71371,23976925.9323939
