pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22598877.5464442,23081342.9527048,22204623.1646818,21233629.1500369,20278780.2573805,23462287.966524,23974790.195757
22599239.0428224,23080751.3743375,22205173.8425661,21233867.0071941,20278672.046269,23461640.0637005,23975144.6480392
22599601.8911864,23080159.333681,22205724.096648,21234106.9733337,20278566.6327536,23460993.3107153,23975499.6910681
22599966.2335357,23079568.0139738,22206274.8119994,21234343.2140697,20278455.7053977,23460344.0453341,23975857.4642469
22600326.7645081,23078975.2034499,22206825.3262164,21234580.1593733,20278351.0918557,23459699.2941184,23976213.4468175
22600688.8955367,23078381.7684109,22207375.7443674,21234817.6638946,20278244.0495038,23459052.8872875,23976568.3365444
22601050.7484923,23077792.7507957,22207925.8667586,21235056.2009756,20278137.4125685,23458404.3495867,23976926.7943491
22601414.1901935,23077198.196399,22208478.7544066,21235294.3296503,20278031.4564879,23457757.3325892,23977283.9283007
22601776.3281905,23076609.2415034,22209030.429875,21235533.1633693,20277922.2798226,23457108.4890103,23977640.7924499
22602140.3647352,23076014.6530848,22209579.1818231,21235771.0999658,20277817.0988083,23456462.6914253,23977996.0375581
22602500.8856741,23075424.3662731,22210132.0034359,21236006.0103208,20277709.9328874,23455816.463548,23978354.4778593
22602865.7675463,23074832.990957,22210684.8233459,21236244.5361102,20277603.8319551,23455169.7685603,23978710.4081462
22603227.1460857,23074239.6266025,22211235.8134997,21236482.970936,20277495.9796524,23454523.2766854,23979068.0612886
22603591.4110856,23073649.7309285,22211784.8282363,21236720.9986557,20277388.9824011,23453875.7139061,23979424.8257514
22603956.4876353,23073058.6821288,22212337.4971039,21236958.7918854,20277282.996153,23453227.1519442,23979781.2127555
22604318.5520445,23072465.2555181,22212889.2975052,21237198.0345715,20277175.2181447,23452581.5833743,23980140.4770849
22604682.6151809,23071872.9687982,22213439.6822836,21237436.5727869,20277071.1073583,23451933.8982319,23980497.3702763
22605045.5670558,23071281.3374867,22213991.7270068,21237674.5594304,20276963.9549874,23451289.2213248,23980856.008761
22605408.8836215,23070691.3374879,22214542.4103825,21237910.8903789,20276860.0501192,23450639.9524317,23981212.2769536
