pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22582689.1089541,23108112.6532524,22179857.8313223,21222997.3009871,20283737.4894951,23491364.260972,23958888.0759152
22583047.5076585,23107518.6561899,22180405.2507294,21223232.6486092,20283625.3512475,23490716.1172714,23959239.5317861
22583405.9759301,23106924.7092971,22180952.75068,21223468.3346287,20283513.2862234,23490067.7906837,23959590.9766309
22583764.226709,23106330.6528205,22181500.5754207,21223704.1357189,20283401.6756487,23489420.0662537,23959942.7009503
22584122.9115409,23105736.6527165,22182048.539643,21223939.6048087,20283289.804985,23488772.0697806,23960294.5126833
22584481.828926,23105142.586738,22182596.2733153,21224175.5055861,20283178.1145814,23488124.0780992,23960646.4646047
22584840.479522,23104548.8464626,22183144.1442734,21224411.3031308,20283066.5912808,23487476.1443361,23960998.3206905
22585199.4190754,23103955.0119046,22183692.0505465,21224647.1490416,20282955.1302666,23486828.1768983,23961350.5469849
22585558.4220022,23103361.1487609,22184240.1368291,21224883.0754573,20282843.5607623,23486180.268011,23961702.5693203
22585917.4957909,23102767.5191017,22184788.2414841,21225119.0285771,20282732.1362528,23485532.4687702,23962055.0994475
22586276.6507794,23102173.7711866,22185336.4269305,21225355.1457145,20282620.7083152,23484884.3419369,23962407.2386309
22586635.7109415,23101580.2957333,22185884.7257904,21225591.21547,20282509.7271174,23484236.3463399,23962759.6333307
22586995.0069045,23100986.276118,22186432.8262382,21225827.4133119,20282398.779533,23483588.6472292,23963112.0429376
22587354.2194411,23100392.4998106,22186981.1890168,21226063.5948921,20282287.8642414,23482940.8123385,23963464.7799225
22587713.5186215,23099799.3058246,22187529.5178915,21226299.5970714,20282176.9321601,23482292.9184345,23963817.5941341
22588072.9430026,23099205.8923762,22188077.897866,21226535.7059984,20282066.2229542,23481645.159806,23964170.3963052
22588432.5604135,23098612.4773332,22188626.6194785,21226772.0991568,20281955.8439602,23480997.2129794,23964523.1922903
22588792.2849185,23098019.046959,22189175.150224,21227008.6413203,20281845.1107243,23480349.6525502,23964876.3201433
22589152.2455738,23097425.9171805,22189723.8079167,21227244.6620316,20281734.5705579,23479701.8285454,23965229.6347392
22589512.0899508,23096832.8325817,22190272.5084366,21227480.7017706,20281624.122695,23479054.0943526,23965582.7085635
22589872.0635584,23096239.5633343,22190821.4238316,21227716.8063702,20281513.7725393,23478406.4988981,23965936.1178101
22590232.2283519,23095646.3013584,22191370.25565,21227953.6150774,20281403.5603656,23477758.7276271,23966289.5180205
22590592.5547825,23095053.4891417,22191919.2466043,21228190.1080547,20281293.753577,23477110.8852217,23966643.0958764
22590952.6158042,23094460.4464432,22192468.1208078,21228426.7542417,20281183.7949843,23476463.4873586,23966996.7873305
22591312.6865618,23093867.4045042,22193017.3616575,21228663.6345918,20281073.8297826,23475815.9803078,23967350.5898922
22591673.1106511,23093274.2041883,22193566.6636671,21228899.9380707,20280964.0657875,23475168.6023176,23967704.5781783
22592033.4355151,23092681.066296,22194115.9356267,21229136.4937627,20280854.4333643,23474520.8146227,23968058.5529585
